comment,eng,neg,neu,pos,com,ncr1Vadr,ncr2Vadr,ncr1Hand,ncr2Hand
So because they couldn't stand their own kids for a few months it's the democrats fault.,TRUE,0.153,0.847,0,-0.4019,1,1,0,1
This judge needs to be hauled away and have a 24 psych evaluation done. Not even the TV judges act this crazy. You'd think they had insulted his mother.,TRUE,0.183,0.817,0,-0.7227,1,1,1,1
"Manchin & cinima pay for our bill!   
They are getting millions to block it!",TRUE,0.289,0.711,0,-0.5972,1,1,1,1
Why?,TRUE,0,1,0,0,0,0,0,0
Merit is just as corrupt as joe Talibiden,TRUE,0,0.714,0.286,0.4215,0,0,1,1
My heart aches 💔 every time I hear one of these officer's speak about their experiences. I suffer from PTSD and it takes year's to overcome. It took me 20 years. 25 years ago I was a victim of a HATE CRIME. NOW I am a Survivor. I refuse to give the hater's the privilege of destroying my Soul.,TRUE,0.291,0.554,0.155,-0.8949,1,1,1,1
"One party rule works wonderful until a decision is made which negatively effects the billions of lives under its control. See Great Leap Forward and One Child Policy. With China under Xi Jinping and the US caught in a pandemic exacerbated by idiots who refuse a life saving vaccine and masking up, the two great superpowers are limping towards the finish line. Which one will win? Who cares. You see the other 6.2 billion people don't give a ____ who wins.",TRUE,0.022,0.728,0.25,0.9747,0,1,0,1
Let's go Poopy Pants (FJB)!,TRUE,0,1,0,0,0,0,1,1
Biden has no sympathy for people that live check to check. The poor and middle class are struggling. Help us you Idiot!,TRUE,0.371,0.543,0.086,-0.8361,1,1,1,1
Everyone’s cool with liberal policies until it’s you paying for it.,TRUE,0,0.813,0.187,0.3182,0,0,0,1
Kids will b kids...,TRUE,0,1,0,0,0,0,0,0
I can read lips and From what it looks like in the video the manager did NOT say to calm down it definitely looked like the manager was feeding the fire.,TRUE,0.115,0.683,0.202,0.5168,0,1,0,1
Oh what a tangled web we weave when first we practice to deceive.,TRUE,0.184,0.816,0,-0.4019,1,1,1,1
Here's what makes sense: the biden regime wants the country in shambles so they can usher in socialism (communism). We are going to have to take our country back by whatever means necessary.,TRUE,0,1,0,0,0,0,0,0
"Well,, that’s 6:30 minutes I wasted watching this.",TRUE,0.283,0.531,0.186,-0.2732,1,1,1,1
"VR is in its Nintendo 64 stage, it will get scarier over the next decade…",TRUE,0,1,0,0,0,0,0,0
So what? They’re all asymptomatic. No need to vaccinate.,TRUE,0.216,0.784,0,-0.296,1,1,0,0
About time,TRUE,0,1,0,0,0,0,0,0
"A democrat calling out lies? What they’re going to do, call themselves out?",TRUE,0.208,0.792,0,-0.4871,1,1,1,1
So come out with another bill to get the first one passed. Apparently now of you guys read the Bible.,TRUE,0,1,0,0,0,0,0,0
This trial is becoming a joke with this judge. He is on the side of the defense and needs to be investigated.,TRUE,0,0.844,0.156,0.4019,0,0,1,1
"Hey Patriots, Any RINO here belong to you? Better vote them out, or our country is F by theses RINO's who are working with the Dems.",TRUE,0,0.896,0.104,0.4404,0,0,1,1
Praying for this decent young lad 🙏🙏🙏,TRUE,0,0.815,0.185,0.3612,0,0,0,0
"People are traveling interstate to steal bilions in goods a year in California, yet Biden cares about a diary.",TRUE,0.138,0.733,0.129,-0.0516,1,1,1,1
Please stop coming to Florida. Don't you remember we are a bunch of degenerates with a Republican Governor. It's super dangerous here. There are no safe spaces for you to hide. Florida is closed. Keep out!,TRUE,0.211,0.654,0.135,-0.3607,1,1,1,1
Pirro’s so right.  Whoever handed Geraldo a JD should be fired.,TRUE,0.265,0.735,0,-0.5574,1,1,1,1
I’m sorry 🙏🏼❤️,FALSE,0.14,0.86,0,-0.0772,1,1,0,0
Now DO BLM and Antifa 🙄🤨,TRUE,0,1,0,0,0,0,0,0
I can’t wait for Intel to invest $26 billion to catch up to where TSMC is today within “five” years! Hopefully TSMC’s $100 billion investment into their own development doesn’t outpace Intel within that time. 😌😂,TRUE,0.039,0.771,0.191,0.8172,0,1,0,1
Prayers to the boy and his family🙏,TRUE,0,1,0,0,0,0,0,0
The spike didn't happen yet so you'll wait till it happens to do something about it? This is the reason the United States has the highest cases and deaths because they wait till shit happens before trying to stop it,TRUE,0.127,0.811,0.061,-0.4588,1,1,1,1
They each are going to get a piece of the pie,TRUE,0,1,0,0,0,0,0,0
Schiff is da man !,TRUE,0,1,0,0,0,0,0,0
#kyleisntguilty #freekyle,TRUE,0,1,0,0,0,0,0,0
"So when does the FBI intend to start “stopping” these idiots, where they are doing it because there are no consequences.  Hard not to believe that the prosecutors are not in sympathy with the thugs on this.",TRUE,0.109,0.858,0.033,-0.4614,1,1,1,1
What Riot?,TRUE,0.783,0.217,0,-0.5574,1,1,0,0
Animal,TRUE,0,1,0,0,0,0,0,0
"Can someone actually tell me why poor people ''deserve'' more money ? What makes them more worth paying ? Speaking as a business owner, if I raise the wages I will increase the price on the products in the end its not good for everyone product prices goes up, inflation goes up and my bussiness grows slower which means less jobs less economical growth....don't ask economical advice from a Progressive they don't even reach basic level middle school economics.",TRUE,0.081,0.866,0.053,-0.35,1,1,1,1
"As a black person I think it's crazy how black people almost aren't even aware of the racist tactics being used against them. These tactics force you into a set of choices, all of which are bad for you, and the only way out is to go completely out of your way in almost every facet of life. So you can get out, but it definitely won't be easy.",TRUE,0.124,0.83,0.046,-0.6135,1,1,1,1
The Made in America music fest in Philly has multiple stages of various sizes so that sort of removes such  huge crowds in from of just one stage.,TRUE,0,0.922,0.078,0.3182,0,0,0,0
LA Times just wrote article about how The Vaxx is not lasting....its BS!!,TRUE,0,1,0,0,0,0,1,1
HERO,TRUE,0,0,1,0.5574,0,0,0,0
🤡🤡🤡,FALSE,0,1,0,0,0,0,1,1
Kyle's not winning this... I say the right actually shoe these snowflakes what a riot is,TRUE,0.313,0.687,0,-0.7488,1,1,0,0
"Ben  -- if  you  didn't notice,  their  push  is to get the  whole world  vaccinated  ...  everyone.

-- all  about  safety.",TRUE,0,0.877,0.123,0.4215,0,0,0,0
How many more are out there?,TRUE,0,1,0,0,0,0,0,0
😂😂😂👍.,FALSE,0.203,0.391,0.406,0.8271,0,1,0,0
"I don't actually wish they got Pence. But it's hard not to imagine how much less of a mess we'd be in now if they had, because it would wash all the bs denials away in one fell swoop",TRUE,0.145,0.855,0,-0.6229,1,1,1,1
They need to be brought down from the top .,TRUE,0,0.833,0.167,0.2023,0,0,0,0
"Everybody always screaming liberals and conservatives!! The people that I have a problem with is the ones are way to right and way to left, and all news stations are garbage",TRUE,0.169,0.831,0,-0.7081,1,1,1,1
The Ethiopian president should be stripped of his Nobel prize,TRUE,0,0.732,0.268,0.5106,0,0,0,1
"You’re going to need mass transit after they take your cars away, part of the great reset, you will own nothing, so get ready to lose your personal autos.",TRUE,0.143,0.74,0.117,0.0217,0,1,0,1
People in Kenosha - not BLM - need to stand up for this teen!  He did a man's job because no man could be found!,TRUE,0.104,0.896,0,-0.4184,1,1,1,1
Just shows the genius of MAGA mouth breathers --- one of the MAGA domestic terrorists is seeking asylum in Belarus right now hahahahaha,TRUE,0.157,0.843,0,-0.6249,1,1,1,1
A phill inv noted by pllplffiezer LOL what a joke,TRUE,0,0.583,0.417,0.694,0,0,0,1
Hedonism Bot?,TRUE,0,1,0,0,0,0,0,0
Bolshevik Paradise,FALSE,0,0.192,0.808,0.6369,0,0,0,0
She seems unstable. She needs help.,TRUE,0.272,0.435,0.293,0.0516,0,1,0,1
Total BS,TRUE,0,1,0,0,0,0,1,1
Stack them and pack them. No Thanksgiving.,TRUE,0.268,0.732,0,-0.296,1,1,0,1
"SLEEP WELL MY FELLOW JAMAICAN.  THANK YOU FOR YOUR YEARS OF DEDICATED SERVICE 💖.  YOU WILL ALWAYS BE REMEMBERED,  LOVED AND RESPECTED. MAY YOUR MEMORIES BE A  COMFORT TO YOUR LOVED ONES, AND FRIENDS.  
WAAK GUD!!",FALSE,0,0.422,0.578,0.9898,0,0,0,0
"Alright... is she associated with any law enforcement org., trained in deradicalization, subject to oversight? Did Vice just platform left wing vigilantism?",TRUE,0,0.899,0.101,0.3313,0,0,0,0
"So the obvious solution is for the world to wean itself off of China and India isn't it? Canada speaks with a forked tongue. We will do this, we will do that but, we will continue to mine and export coal to China.",TRUE,0,0.959,0.041,0.1979,0,0,0,0
"It is certainly interesting to see TYT turn on those they have championed for so long. I dare say Khanna was more than a little surprized when the cozy softball fluff-piece he expected turned into this blood bath! Can we look forward to each member of 'The Squad', every candidate the Justice Democrats own being called in for a similar 'The Conversation' in the future?",TRUE,0,0.847,0.153,0.8748,0,0,0,0
Gigi can do as she pleases. This world belongs to her,TRUE,0,0.787,0.213,0.4019,0,0,0,0
"""Climate Change"" has been warned its going to end the world soon since the 1970s.  Just a scare tactic with little truth to it.",TRUE,0.187,0.742,0.071,-0.5095,1,1,1,1
Don Lemon Is the problem,TRUE,0.403,0.597,0,-0.4019,1,1,1,1
Hard pass on this garbage.,TRUE,0.259,0.741,0,-0.1027,1,1,1,1
"It's so fitting that this debacle unfolded in the wake of Jacob Blake.  It just has a certain symmetry to it.
-
I only clicked on this video to hear what a lispy, soy shadow-of-a-man's take on reality was going to be... and insofar as they cannot be honest even with themselves, it stands to reason that they lie to all of us as well.  MSNBC -- easily one of the lowest of the lows.  With legal-analysis on par with their honesty, it's no wonder they missed the mark on this.
-
Isn't this the home of Rachel Maddow -- who upon being sued for malicious lying, used the defense of ""no-reasonable-person-would-believe-a-word-that-I-say!"" ....  which, I mean .... _is she wrong?_
-
Look at that ratio of likes to dislikes .... my, my, my ... and they wonder why their ratings and reputation are so low.",TRUE,0.141,0.775,0.084,-0.8636,1,1,1,1
"Once again, political service should be a part-time 2 term job - we are becoming what we rebelled against centuries ago!  These ridiculous 'causes' are because politicians have too much time on their hands and are trying to validate their existence!",TRUE,0.112,0.834,0.055,-0.3786,1,1,1,1
Mass protests against bidens vaccine madates and no love from cnn.,TRUE,0.369,0.631,0,-0.6449,1,1,1,1
I feel bad for you ):,TRUE,0.612,0.388,0,-0.743,1,1,1,1
I don't trust anyone that does not actively protect United States constitution as written and its citizens rights and freedoms  in global leadership position in the United States or abroad they are delusional tyrannical demagogues all them should be ignored and dispatched with extreme prejustic!,TRUE,0.215,0.694,0.091,-0.6977,1,1,1,1
Amazing!  God bless our heroes.,TRUE,0,0.075,0.925,0.906,0,0,0,0
100m people not working? I'm struggling with job hunting seems like no one is trying to hire people or are they out of hiring managers as well?,TRUE,0.068,0.708,0.224,0.6239,0,1,0,1
Are the ads so long it’s very stupid,TRUE,0.345,0.655,0,-0.5709,1,1,1,1
my mom support you,FALSE,0,0.526,0.474,0.4019,0,0,0,0
"The Irony. 
The jab is said to be necessary for customer safety. 
Although the product is designed in foremost for quarterly profits and not customer satisfaction. 
So what then is in it for the worker?  
Oh the latest in free PPE (The Jab) where one is required to make a life changing decision to trust big pharma who has govt backed absolution and zero liability if their product is debilitating or lethal. 
That game is too rich for my blood. I fold.",TRUE,0.057,0.765,0.178,0.9117,0,1,0,1
They look like they'll be making lonely prison bubbus happy for the rest their lives?,TRUE,0.252,0.478,0.27,0.1027,0,1,0,1
"You can explain it however you want, but the fact is, Republicans win on the issue of Critical Race Theory. Whether they teach it as a separate class or not, Democrats are in favor of CRT, and people hate it.",TRUE,0.151,0.662,0.187,0.2263,0,1,0,1
😂😂😂😂😂😂😂,TRUE,0.218,0.345,0.437,0.9601,0,1,0,0
"Many people don’t know how to find out if someone is cheating--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Cybermicheal eradicates all these problems. This hacker is one of the most popular and widely used  for tracking spouses cheating from their phones.
No jailbreak or rooting is needed to enable the top-tier functions. Social media tracking is available across the most popular platforms, such as Instagram, Whatsapp, Facebook and Snapchat. He  offers his customer to receive every chat record that will leave no room for doubt whether the spouse is cheating on the phone or not.
You can contact this great hacker via Gmail Cybermicheal1995@gmail.com OR  Whatsapp on +18722250930
He is reliable and trustworthy.,.",TRUE,0.141,0.744,0.115,-0.0872,1,1,0,1
"I'm not about to be broke in the real world and metaverse, ill pass. lol",TRUE,0.275,0.588,0.137,-0.4215,1,1,0,1
"#""we don't need  TPLF😁❤ territory  Ethiopia  😁❤tplf😁❤ is😁❤ killer 😁❤ western 😁❤promoted  and 😁❤support  😁❤we want 😁❤Freedom 😁❤ let's 😁❤as😁❤ free  we😁❤ Ethiopian😁❤ people  😁❤VOTED😁❤  THEM😁❤ GOVERNMENT 😁❤",FALSE,0.019,0.507,0.474,0.9985,0,1,0,0
"""Other issues"", right Nancy? Like your stupid policies!",TRUE,0.303,0.492,0.205,-0.2942,1,1,1,1
"These guys vote demoRAT and voted for Biden….thank you for your service, buuuuut",TRUE,0,1,0,0,0,0,1,1
"When you have no option to count the votes but Leftist DOMINION-OVER-YOUR-VOTE machines,.... ""wreck-America-on-purpose""  Joe Biden is WHAT YOU GET.",TRUE,0.078,0.922,0,-0.1531,1,1,1,1
I’m a immigrant but why should tax payer foot the cost when everyone know the consequences of illegal crossing.,TRUE,0.214,0.786,0,-0.7096,1,1,0,1
Patrotism IS the problem. People are more important than Nation States.,TRUE,0.196,0.653,0.152,-0.1548,1,1,1,1
"Hummmm, where's the condensation from her breath? 🤔 3:30",TRUE,0,1,0,0,0,0,0,0
freedom RUSSIA out DIABOLIQE putin lukaszenka,FALSE,0,0.543,0.457,0.6369,0,0,0,0
"So because the trial isn't going the way you want, it's rigged. Ok.",TRUE,0.169,0.743,0.088,-0.296,1,1,0,1
"That old crone is no judge. He’s a disgrace to the justice system and should be made to know that for the rest of his old, pathetic life. From Kyle to the “judge,” all I see are a bunch of crying white boys with daddy issues. Boy, trump sure did bring them out of the woodworks, didn’t he?",TRUE,0.175,0.744,0.082,-0.7579,1,1,1,1
I love that people in the comments think these ladies are terrible.  They did vote for biden after all 😆,TRUE,0.108,0.66,0.233,0.5574,0,1,0,1
Alec Baldwin won't spend 1 day in jail..SMH,TRUE,0,1,0,0,0,0,0,0
So we're defending our constitution by becoming an Asian society where petty crime is dealt with the way Saudis deal with it? A people write their own fate. Whether they know it or not.,TRUE,0.142,0.858,0,-0.6486,1,1,1,1
The Five should know that KR didn’t carry a gun across state lines.,TRUE,0.167,0.833,0,-0.34,1,1,0,1
None of this is true 😂😂😂,TRUE,0.173,0.395,0.432,0.8885,0,1,0,1
Lots of lazy People staying at home. How is this accurate ? MSNBC is just like CNN telling lies,TRUE,0.223,0.672,0.105,-0.4215,1,1,1,1
"Directed toward Trump/supporters nearly early everyday when he was prez. Crickets from Cooper then. When Republican's were actually shot and gravely wounded by a Leftist nut at a baseball game the silence from the Left was deafening. Now, we need to care about a cartoon. Meh.",TRUE,0.117,0.82,0.062,-0.2023,1,1,1,1
"Antivaxers: ""Nooooo,.... 😱 Not a pill! 😫 Anti-vaxx 🤪 conservative mode,... 😤 *GO!!""* 💩🤡 [head starts spinning at 87,600 rpm and then violently explodes] 🤯😵☠👻

Me: ""Hopefully it will help in pill form but I'm not expecting much."" 🤷‍♂️",FALSE,0.147,0.775,0.078,-0.5958,1,1,0,1
😂,TRUE,0.218,0.345,0.437,0.4404,0,1,0,0
This slug should face criminal charges. He admitted to pointing a gun at rittenhouse prior to being shot himself. That's admission of guilt in attempted murder.,TRUE,0.407,0.554,0.039,-0.9231,1,1,1,1
Democrats are open racist,TRUE,0.571,0.429,0,-0.6124,1,1,1,1
I don't think this story is real lol. Most people don't care if someone gets vaccinated.,TRUE,0.147,0.711,0.142,-0.0237,1,1,0,1
Such a dirty man! Inside and out!,TRUE,0.367,0.633,0,-0.5399,1,1,1,1
Can you imagine the last time covid shots and getting them or not getting them into people wasn't nbc headline news. I don't get how they can make a vaccine that been out for almost a year a daily News story,TRUE,0,1,0,0,0,0,0,0
So Trump appointees are like Saudi Royal circle who won't face any accountability no matter what laws they break? WTF is going on?,TRUE,0.21,0.703,0.088,-0.5372,1,1,0,1
And almost none of them will follow the deal,TRUE,0,1,0,0,0,0,0,0
Criminal Harris as VP is worth about as much as a Bill Cosby pudding commercial.,TRUE,0.186,0.71,0.104,-0.3612,1,1,1,1
are you kidding me 😳😳 He killed 2 people 😳😳😳😦😦,FALSE,0.268,0.692,0.04,-0.836,1,1,0,1
How in the Hell can a Crack Head tell anyone about Sleep? This man is a perfect example of what Crack damage Your ability to think!!,TRUE,0.23,0.605,0.165,-0.5242,1,1,1,1
I'm sure the rapist rioting was faking too and all the other crazy leftists that started this,TRUE,0.398,0.512,0.091,-0.8316,1,1,1,1
"""When the issue is the health of our climate, I just hop into my private oxygen killing jet and give everyone a real reason to worry about ""Climate Change""!!! Then I fly home to my ""Climate Safe"" bunker and make myself comfortable while I wait for all you Fake Supremacist suckers to die!!",TRUE,0.263,0.63,0.108,-0.9196,1,1,1,1
Why is this news because he is white?,TRUE,0,1,0,0,0,0,0,1
IITS CHEAPER TO PAY WORKERS A LIVABLE WAGE THAN TO DESTROY YOUR OWN CROPS,TRUE,0.29,0.71,0,-0.5994,1,1,1,1
"All Trump needed to do was stay off Twitter. lol I loved when he opened his mouth though. Always got a straight answer, unlike these people in senate hearing that can't even answer simple yes/no questions.",TRUE,0,0.793,0.207,0.8225,0,0,0,1
I think it's about time for Tucker Carlson to run for office.,TRUE,0,1,0,0,0,0,0,0
Thanks Obama!,TRUE,0,0.239,0.761,0.4926,0,0,0,0
God is good,TRUE,0,0.167,0.833,0.6124,0,0,0,0
If you give your kids these things you are endangering your kids.,TRUE,0,1,0,0,0,0,0,0
She's pretty.  But ket us not forget she is a Democrat and will vote with the party line,TRUE,0,0.662,0.338,0.7683,0,0,0,0
"This guy comes from out of town with with semi automatic weapon to a riot.  Trying to do what defend his property, no wait he's not from there.  Be a policeman?  There are police there.  He goes running around his weapon  then opens fire and kills multiple people?   That guys is troubled.  He will be found guilty and it will be justice.  Ben Shapiro defended the Floyd murder and now he thinks this is self defence?  Are you sure Ben?  Because it looks like a killer looking for a reason to use his weapon.  Shapiro you bring shame to your religion and shame to the Republican party.",TRUE,0.284,0.629,0.087,-0.9817,1,1,1,1
"Almost makes you think, whatever was in it must be true",TRUE,0,0.781,0.219,0.4215,0,0,0,0
good job guys. keep it up. I'm sure it feels good to help these people,TRUE,0,0.505,0.495,0.8689,0,0,0,0
Vets living in tents...illegals getting handed checks! Anyone see a problem here?,TRUE,0.214,0.786,0,-0.4574,1,1,1,1
"This person did this kind of vile action in front of her son 😒, what a shame.",TRUE,0.319,0.681,0,-0.8173,1,1,1,1
"Jimmy, you just love the sound of your voice. Still lying 🤥",TRUE,0.324,0.476,0.2,-0.3818,1,1,0,0
next on America's dumbest criminals video tape your crime and wonder why you are getting arrested. lmao,TRUE,0.461,0.407,0.132,-0.8658,1,1,0,0
Sapul talaga sa mukha.....😁😁😁,FALSE,0,0.64,0.36,0.8402,0,0,0,0
"Rino, weasel",TRUE,0,1,0,0,0,0,0,0
I just came to see him cry LMFAO!!😂😂😆,TRUE,0.193,0.391,0.416,0.8755,0,1,0,0
This administration was dead on arrival.  It's what happens when you cheat an election.,TRUE,0.378,0.622,0,-0.8074,1,1,1,1
But ron death santis says covid is no big deal,TRUE,0.505,0.495,0,-0.8462,1,1,0,0
"No one trust the current selected President Not elected President by Americans. Let’s Go Brandon!
Hoax Green New Deal since solar is failed during Texas snowstorm in 2020 Winter 🥶 
The global corruption criminals organization drained out Americans taxes $$$ to their organization.",TRUE,0.306,0.694,0,-0.9412,1,1,1,1
Prosecutor should show what Eddie Veder did when the crowd stampeded at one of his shows.,TRUE,0,1,0,0,0,0,0,0
"""Time immemorial"" is a weirdly vague term...",TRUE,0.419,0.581,0,-0.3818,1,1,0,0
I am.,TRUE,0,1,0,0,0,0,0,0
So what? Highschool GA doesn't mean a good worker. I've always performed with the best with pretty much every job i've had and I did horrible in school.,TRUE,0.158,0.643,0.198,0.3599,0,1,0,0
I’m glad he’s ok,FALSE,0,0.278,0.722,0.6369,0,0,0,0
I loathe the hippies theres domestic terroists in America 2021. I loathe the hippies you are so stupid! Do you know what's going on nationwide and what you're really suppossed to be doing!,TRUE,0.274,0.726,0,-0.9072,1,1,1,1
Daily Wire Backstage- no Candice. Second time no Candice I know of.  WHY?,TRUE,0.286,0.714,0,-0.5267,1,1,0,0
Biden: everything I touch dies!,TRUE,0,1,0,0,0,0,0,0
"If PEOPLE were really woke they would have some empathy for all life...not just the life they agree with...WHY SO ANGRY?..  WOKE IS BEING SMARTER, MORE AWARE AND BEING STRONG IN WHAT IS RIGHT.",TRUE,0.112,0.662,0.226,0.6378,0,1,0,0
"Yes, dbag the money is. You suck",TRUE,0.274,0.472,0.255,-0.0516,1,1,1,1
"I find it difficult to listen to anything CNN says after they erroneously tried to place the fault of the recent gubernatorial democratic election loss on Progressives instead of on Centrist-Corporate Democrats who for months have undermined the Build-Back-Better Progressive agenda designed to create thousands of jobs and education for jobs.  Those same Centrist-Corporate Democrats DID NOTHING while other conservative Democrats and Republicans methodically attacks voting rights of Black Americans, young people, and those in the military.",TRUE,0.15,0.826,0.024,-0.8689,1,1,0,0
Just how many Charges can just one person get before saying Enough is Enough. Something has to be Done about this Man. If Not it will Never End.,TRUE,0.072,0.928,0,-0.2732,1,1,0,0
"When in public you call police. When at home, uh, not so much....",TRUE,0,1,0,0,0,0,0,0
We're listening to their mandates not holding their loved one's hands until they say weekend look how many people they killed in nursing homes in New York why are we still listening to them,TRUE,0.193,0.807,0,-0.8246,1,1,1,1
This is a very good example how easy to control anyone.... humanity lost. Enjoy,TRUE,0.107,0.463,0.43,0.7902,0,1,0,0
Dam right I would press charges!!!,TRUE,0.373,0.627,0,-0.4545,1,1,0,0
I wonder what his arm day workout looks like net it involves a lot of unilateral movements,TRUE,0,0.865,0.135,0.3612,0,0,0,0
"YouTube is all together removing the Dislike button because of the overwhelming dislike ratio on liberal issues.
YOU CAN'T HANDLE THE TRUTH 😂",TRUE,0.271,0.621,0.107,-0.5865,1,1,0,0
So fake...,TRUE,0.772,0.228,0,-0.5256,1,1,1,1
And here in Utah we are looking at another light snow winter.,TRUE,0,1,0,0,0,0,0,0
Call of Duty needs to make a Rittenhouse version,TRUE,0,1,0,0,0,0,0,0
"That Aubrey trial is a great argument for systemic racisism. Wow, America really hasn't changed over the centuries.",TRUE,0.098,0.591,0.311,0.7506,0,1,0,0
this vieo has as of now 842 dislikes,TRUE,0.278,0.722,0,-0.4019,1,1,0,0
"Jimmy Dore is the only guy who does any decent investigative journalism even though he is a comedian, vaccinating against a mild respiratory disease that mutates this fast is insane, any epidemiologist who knows what they are talking about will conclusively say that leaky vaccines cause higher rates of mutation potentially worsening any epdiemic...",TRUE,0.096,0.86,0.044,-0.4767,1,1,0,0
I can explain the weakest link in the supply chain Joe Biden and company!!! That link was made of wet toilet tissue!!!,TRUE,0.175,0.825,0,-0.6671,1,1,0,0
There poor letvthem have it ..,TRUE,0.383,0.617,0,-0.4767,1,1,0,0
The squirrel did not have to kill a fat shamming.  It's a squirrel,TRUE,0,0.762,0.238,0.5773,0,0,0,0
Keep using your SMART PHONE GRETA!! It's killing people in Africa destroying water with pollution birth defects. HYPOCRITE,TRUE,0.393,0.488,0.12,-0.8339,1,1,1,1
"AI, idiots with computers.. outstanding Max.",TRUE,0,0.556,0.444,0.6124,0,0,1,1
"This is what American politics will look like if we do not ban the Republican party, they will come at us just like the nazis in the 1930s Germany.",TRUE,0,0.702,0.298,0.8633,0,0,1,1
Let them go to Turkey and Russia or stay in Belarus yes yes,TRUE,0,0.671,0.329,0.6597,0,0,0,0
"The CCP began to use the method of retreat for advancement to release good news to the United States, but what?  The essence remains the same. Once the CCP’s vitality is restored, it will deal with the United States and the world in a stronger way. The democratic and free system and the dictatorship and communism are completely incompatible. Is it so difficult for the United States to be unclear?  Or is it naive to think that the CCP has retreated and relented?  It's so naive. Biden's appeasement and so-called competition instead of confrontation will bring the United States into danger.  Only by eliminating communism can there be the only way to make the world peaceful.  The CCP’s Zhongnanhai is just like the Kim dynasty of North Korea. Don’t want to change it in other ways. Only by applying pressure and suffocating the regime to collapse is the right way to ensure global stability and prosperity.  In particular, the CCP’s Internet firewall is the only way to control the Chinese people and maintain the CCP’s totalitarian power. The CCP will fall, and American politicians have been compromising for their own interests. Should the United States trust it?  With a big question mark, Taiwan should have nuclear weapons to defend itself, without having to buy a lot of traditional weapons.  If Taiwan is pro-China, the United States will be the first to be destroyed. The destruction referred to here is not military destruction, but political, economic, and technological destruction.",TRUE,0.163,0.65,0.187,0.6037,0,1,0,0
So this little girl and her mom can live life normally without any masks or anything right?,TRUE,0,1,0,0,0,0,0,0
Biden has ruined America. I voted Trump and will stand by him .,TRUE,0.205,0.795,0,-0.4767,1,1,0,0
Charge her with assault and then she’ll realize that the soup they serve on the soup line is worst than the one she threw at the girl. Fk’n entitled POS.,TRUE,0.214,0.73,0.057,-0.7783,1,1,1,1
This guy is quickly becoming one of my favorite guys on fox.,TRUE,0,0.786,0.214,0.4588,0,0,0,0
That does nothing to Joe. You have to actually have a heart to feel something.😏,TRUE,0,0.792,0.208,0.6369,0,0,0,0
We get that speaker for 5 dollars in India lmfao. The mrp is $7 😂,TRUE,0.075,0.635,0.29,0.7506,0,1,0,0
Absolutely fantastic reporting. Well done NYT and well done Johnny Harris.,TRUE,0,0.489,0.511,0.8104,0,0,0,0
I think the biggest obstacle to India’s progress is corruption. Seems to me China is progressing better is because there’s less corruption in China?,TRUE,0.086,0.719,0.195,0.4939,0,1,0,0
"My question to the Democrat is, Are the military tanks, submarines, fighter jets, war planes and military trucks going to use Electric power??",TRUE,0.159,0.782,0.06,-0.5661,1,1,0,0
Target is pretty PRO everything right-wingers are against. Why even go pull this crap there?,TRUE,0.156,0.677,0.167,0.0516,0,1,0,0
Sure it will.,TRUE,0,0.465,0.535,0.3182,0,0,0,0
U can't cancel big bird Cancun Teddy,FALSE,0,0.775,0.225,0.1877,0,0,0,0
I left sunday school when I was 10 as I didn't believe in gods but even a heathen like me gets surprised by the amount of hate these followers of Jesus express. I guess I missed that part of the bible,TRUE,0.156,0.733,0.111,-0.5023,1,1,0,0
Home school will be the new norm,TRUE,0,1,0,0,0,0,0,0
The riots hurt dozens of people and thousands of police officers lol. Someone’s math is pumped up,TRUE,0.285,0.596,0.119,-0.5994,1,1,0,0
"""I'm just shocked, just shocked that liberals don't live their beliefs."". NYT.",TRUE,0.315,0.685,0,-0.5574,1,1,0,0
"If you want to make money like the billionaires, go run your own business.

Shame",TRUE,0.164,0.635,0.201,-0.0772,1,1,1,1
If this was done by a man.. He would have been beheaded by now.,TRUE,0,1,0,0,0,0,1,1
what a disgusting man. and that 29 year old- shame on her. she's probably just trying to further her career,TRUE,0.265,0.735,0,-0.7579,1,1,1,1
If He Believes in what he is saying Then He WOULDNT  have bought  a house right on the Water In Martha's Vineyard.....He is the BIGGEST PHONY ever to walk in a pair of shoes...,TRUE,0,1,0,0,0,0,1,1
Yeet,TRUE,0,1,0,0,0,0,0,0
I wonder why no one wanted to have sex with those guys who killed innocent people.,TRUE,0.303,0.588,0.109,-0.6486,1,1,0,0
She needs to get terminated from her nursing job. That was wrong on so many levels.,TRUE,0.171,0.829,0,-0.4767,1,1,1,1
Lol🤪👍,FALSE,0,0.588,0.412,0.4215,0,0,0,0
"*Mondern man is not the man who goes off to discover himself, his secrets, and his hidden truth; he is a man who tries to invest himself in something beneficial for the future.*",TRUE,0,0.856,0.144,0.6369,0,0,0,0
India will not progress if there is still a caste system 👌,TRUE,0.126,0.542,0.332,0.586,0,1,0,0
Lol this Kids today 🤣🤣🤣,FALSE,0,0.547,0.453,0.9081,0,0,0,0
Garland has to act positively against Bannon to stop these people ignoring subpoenas,TRUE,0.268,0.546,0.186,-0.128,1,1,0,0
STOP MAKING STUPID PEOPLE FAMOUS,TRUE,0.651,0.349,0,-0.6808,1,1,1,1
That's so funny Democrats talkin about unborn children at the end.... Like you gunna have any.,TRUE,0,0.711,0.289,0.6901,0,0,0,0
